#Id,Prefix
BOSNIA_HERZEGOVINA,00387
BOSNIA_HERZEGOVINA_CELL,003876
BOSNIA_HERZEGOVINA_CELL,0038761
BOSNIA_HERZEGOVINA_CELL,0038762
BOSNIA_HERZEGOVINA_CELL,0038763
BOSNIA_HERZEGOVINA_CELL,0038765
BOTSWANA,00267
BOTSWANA_CELL,0026701
BOTSWANA_CELL,0026702
BOTSWANA_CELL,0026771
BOTSWANA_CELL,0026772
BRASIL,0055
BRASIL,005511
BRASIL,005521
BRASIL,005531
BRASIL,005561
BRASIL_CELL,0055636
BRASIL_CELL,0055637
BRASIL_CELL,0055638
BRASIL_CELL,0055639
BRASIL_CELL,0055646
BRASIL_CELL,0055647
BRASIL_CELL,0055648
BRASIL_CELL,0055649
BRASIL_CELL,0055656
BRASIL_CELL,0055657
BRASIL_CELL,0055658
BRASIL_CELL,0055659
BRASIL_CELL,0055664
BRASIL_CELL,0055666
BRASIL_CELL,0055667
BRASIL_CELL,0055668
BRASIL_CELL,0055669
BRASIL_CELL,0055676
BRASIL_CELL,0055677
BRASIL_CELL,0055678
BRASIL_CELL,0055679
BRASIL_CELL,0055686
BRASIL_CELL,0055687
BRASIL_CELL,0055688
BRASIL_CELL,0055689
BRASIL_CELL,0055696
BRASIL_CELL,0055697
BRASIL_CELL,0055698
BRASIL_CELL,0055699
BRASIL_CELL,0055707
BRASIL_CELL,0055708
BRASIL_CELL,0055709
BRASIL_CELL,0055716
BRASIL_CELL,0055717
BRASIL_CELL,0055718
BRASIL_CELL,0055719
BRASIL_CELL,0055726
BRASIL_CELL,0055727
BRASIL_CELL,0055728
BRASIL_CELL,0055729
BRASIL_CELL,0055736
BRASIL_CELL,0055737
BRASIL_CELL,0055738
BRASIL_CELL,0055739
BRASIL_CELL,0055746
BRASIL_CELL,0055747
BRASIL_CELL,0055748
BRASIL_CELL,0055749
BRASIL_CELL,0055756
BRASIL_CELL,0055757
BRASIL_CELL,0055758
BRASIL_CELL,0055759
BRASIL_CELL,0055766
BRASIL_CELL,0055767
BRASIL_CELL,0055768
BRASIL_CELL,0055769
BRASIL_CELL,0055776
BRASIL_CELL,0055777
BRASIL_CELL,0055778
BRASIL_CELL,0055779
BRASIL_CELL,0055786
BRASIL_CELL,0055787
BRASIL_CELL,0055788
BRASIL_CELL,0055789
BRASIL_CELL,0055796
BRASIL_CELL,0055797
BRASIL_CELL,0055798
BRASIL_CELL,0055799
BRASIL_CELL,0055807
BRASIL_CELL,0055808
BRASIL_CELL,0055809
BRASIL_CELL,0055816
BRASIL_CELL,0055817
BRASIL_CELL,0055818
BRASIL_CELL,0055819
BRASIL_CELL,0055826
BRASIL_CELL,0055827
BRASIL_CELL,0055828
BRASIL_CELL,0055829
BRASIL_CELL,0055836
BRASIL_CELL,0055837
BRASIL_CELL,0055838
BRASIL_CELL,0055839
BRASIL_CELL,0055846
BRASIL_CELL,0055847
BRASIL_CELL,0055848
BRASIL_CELL,0055849
BRASIL_CELL,0055856
BRASIL_CELL,0055857
BRASIL_CELL,0055858
BRASIL_CELL,0055859
BRASIL_CELL,0055866
BRASIL_CELL,0055867
BRASIL_CELL,0055868
BRASIL_CELL,0055869
BRASIL_CELL,0055876
BRASIL_CELL,0055877
BRASIL_CELL,0055878
BRASIL_CELL,0055879
BRASIL_CELL,0055886
BRASIL_CELL,0055887
BRASIL_CELL,0055888
BRASIL_CELL,0055889
BRASIL_CELL,0055896
BRASIL_CELL,0055897
BRASIL_CELL,0055898
BRASIL_CELL,0055899
BRASIL_CELL,0055907
BRASIL_CELL,0055908
BRASIL_CELL,0055909
BRASIL_CELL,0055916
BRASIL_CELL,0055917
BRASIL_CELL,0055918
BRASIL_CELL,0055919
BRASIL_CELL,0055926
BRASIL_CELL,0055927
BRASIL_CELL,0055928
BRASIL_CELL,0055929
BRASIL_CELL,0055936
BRASIL_CELL,0055937
BRASIL_CELL,0055938
BRASIL_CELL,0055939
BRASIL_CELL,0055946
BRASIL_CELL,0055947
BRASIL_CELL,0055948
BRASIL_CELL,0055949
BRASIL_CELL,0055956
BRASIL_CELL,0055957
BRASIL_CELL,0055958
BRASIL_CELL,0055959
BRASIL_CELL,0055966
BRASIL_CELL,0055967
BRASIL_CELL,0055968
BRASIL_CELL,0055969
BRASIL_CELL,0055976
BRASIL_CELL,0055977
BRASIL_CELL,0055978
BRASIL_CELL,0055979
BRASIL_CELL,0055986
BRASIL_CELL,0055987
BRASIL_CELL,0055988
BRASIL_CELL,0055989
BRASIL_CELL,0055996
BRASIL_CELL,0055997
BRASIL_CELL,0055998
BRASIL_CELL,0055999
BRASIL_CELL,0055007
BRASIL_CELL,0055008
BRASIL_CELL,0055009
BRASIL_CELL,0055017
BRASIL_CELL,0055018
BRASIL_CELL,0055019
BRASIL_CELL,0055027
BRASIL_CELL,0055028
BRASIL_CELL,0055029
BRASIL_CELL,0055037
BRASIL_CELL,0055038
BRASIL_CELL,0055039
BRASIL_CELL,0055047
BRASIL_CELL,0055048
BRASIL_CELL,0055049
BRASIL_CELL,0055057
BRASIL_CELL,0055058
BRASIL_CELL,0055059
BRASIL_CELL,0055067
BRASIL_CELL,0055068
BRASIL_CELL,0055069
BRASIL_CELL,0055077
BRASIL_CELL,0055078
BRASIL_CELL,0055079
BRASIL_CELL,0055087
BRASIL_CELL,0055088
BRASIL_CELL,0055089
BRASIL_CELL,0055097
BRASIL_CELL,0055098
BRASIL_CELL,0055099
BRASIL_CELL,0055107
BRASIL_CELL,0055108
BRASIL_CELL,0055109
BRASIL_CELL,0055116
BRASIL_CELL,0055117
BRASIL_CELL,0055118
BRASIL_CELL,0055119
BRASIL_CELL,0055126
BRASIL_CELL,0055127
BRASIL_CELL,0055128
BRASIL_CELL,0055129
BRASIL_CELL,0055136
BRASIL_CELL,0055137
BRASIL_CELL,0055138
BRASIL_CELL,0055139
BRASIL_CELL,0055146
BRASIL_CELL,0055147
BRASIL_CELL,0055148
BRASIL_CELL,0055149
BRASIL_CELL,0055156
BRASIL_CELL,0055157
BRASIL_CELL,0055158
BRASIL_CELL,0055159
BRASIL_CELL,0055166
BRASIL_CELL,0055167
BRASIL_CELL,0055168
BRASIL_CELL,0055169
BRASIL_CELL,0055176
BRASIL_CELL,0055177
BRASIL_CELL,0055178
BRASIL_CELL,0055179
BRASIL_CELL,0055186
BRASIL_CELL,0055187
BRASIL_CELL,0055188
BRASIL_CELL,0055189
BRASIL_CELL,0055196
BRASIL_CELL,0055197
BRASIL_CELL,0055198
BRASIL_CELL,0055199
BRASIL_CELL,0055207
BRASIL_CELL,0055208
BRASIL_CELL,0055209
BRASIL_CELL,0055216
BRASIL_CELL,0055217
BRASIL_CELL,0055218
BRASIL_CELL,0055219
BRASIL_CELL,0055226
BRASIL_CELL,0055227
BRASIL_CELL,0055228
BRASIL_CELL,0055229
BRASIL_CELL,0055236
BRASIL_CELL,0055237
BRASIL_CELL,0055238
BRASIL_CELL,0055239
BRASIL_CELL,0055246
BRASIL_CELL,0055247
BRASIL_CELL,0055248
BRASIL_CELL,0055249
BRASIL_CELL,0055256
BRASIL_CELL,0055257
BRASIL_CELL,0055258
BRASIL_CELL,0055259
BRASIL_CELL,0055266
BRASIL_CELL,0055267
BRASIL_CELL,0055268
BRASIL_CELL,0055269
BRASIL_CELL,0055276
BRASIL_CELL,0055277
BRASIL_CELL,0055278
BRASIL_CELL,0055279
BRASIL_CELL,0055286
BRASIL_CELL,0055287
BRASIL_CELL,0055288
BRASIL_CELL,0055289
BRASIL_CELL,0055296
BRASIL_CELL,0055297
BRASIL_CELL,0055298
BRASIL_CELL,0055299
BRASIL_CELL,0055307
BRASIL_CELL,0055308
BRASIL_CELL,0055309
BRASIL_CELL,0055316
BRASIL_CELL,0055317
BRASIL_CELL,0055318
BRASIL_CELL,0055319
BRASIL_CELL,0055326
BRASIL_CELL,0055327
BRASIL_CELL,0055328
BRASIL_CELL,0055329
BRASIL_CELL,0055336
BRASIL_CELL,0055337
BRASIL_CELL,0055338
BRASIL_CELL,0055339
BRASIL_CELL,0055346
BRASIL_CELL,0055347
BRASIL_CELL,0055348
BRASIL_CELL,0055349
BRASIL_CELL,0055356
BRASIL_CELL,0055357
BRASIL_CELL,0055358
BRASIL_CELL,0055359
BRASIL_CELL,0055366
BRASIL_CELL,0055367
BRASIL_CELL,0055368
BRASIL_CELL,0055369
BRASIL_CELL,0055376
BRASIL_CELL,0055377
BRASIL_CELL,0055378
BRASIL_CELL,0055379
BRASIL_CELL,0055386
BRASIL_CELL,0055387
BRASIL_CELL,0055388
BRASIL_CELL,0055389
BRASIL_CELL,0055396
BRASIL_CELL,0055397
BRASIL_CELL,0055398
BRASIL_CELL,0055399
BRASIL_CELL,0055407
BRASIL_CELL,0055408
BRASIL_CELL,0055409
BRASIL_CELL,0055416
BRASIL_CELL,0055417
BRASIL_CELL,0055418
BRASIL_CELL,0055419
BRASIL_CELL,0055426
BRASIL_CELL,0055427
BRASIL_CELL,0055428
BRASIL_CELL,0055429
BRASIL_CELL,0055436
BRASIL_CELL,0055437
BRASIL_CELL,0055438
BRASIL_CELL,0055439
BRASIL_CELL,0055446
BRASIL_CELL,0055447
BRASIL_CELL,0055448
BRASIL_CELL,0055449
BRASIL_CELL,0055456
BRASIL_CELL,0055457
BRASIL_CELL,0055458
BRASIL_CELL,0055459
BRASIL_CELL,0055466
BRASIL_CELL,0055467
BRASIL_CELL,0055468
BRASIL_CELL,0055469
BRASIL_CELL,0055476
BRASIL_CELL,0055477
BRASIL_CELL,0055478
BRASIL_CELL,0055479
BRASIL_CELL,0055486
BRASIL_CELL,0055487
BRASIL_CELL,0055488
BRASIL_CELL,0055489
BRASIL_CELL,0055496
BRASIL_CELL,0055497
BRASIL_CELL,0055498
BRASIL_CELL,0055499
BRASIL_CELL,0055507
BRASIL_CELL,0055508
BRASIL_CELL,0055509
BRASIL_CELL,0055516
BRASIL_CELL,0055517
BRASIL_CELL,0055518
BRASIL_CELL,0055519
BRASIL_CELL,0055526
BRASIL_CELL,0055527
BRASIL_CELL,0055528
BRASIL_CELL,0055529
BRASIL_CELL,0055536
BRASIL_CELL,0055537
BRASIL_CELL,0055538
BRASIL_CELL,0055539
BRASIL_CELL,0055546
BRASIL_CELL,0055547
BRASIL_CELL,0055548
BRASIL_CELL,0055549
BRASIL_CELL,0055556
BRASIL_CELL,0055557
BRASIL_CELL,0055558
BRASIL_CELL,0055559
BRASIL_CELL,0055566
BRASIL_CELL,0055567
BRASIL_CELL,0055568
BRASIL_CELL,0055569
BRASIL_CELL,0055576
BRASIL_CELL,0055577
BRASIL_CELL,0055578
BRASIL_CELL,0055579
BRASIL_CELL,0055586
BRASIL_CELL,0055587
BRASIL_CELL,0055588
BRASIL_CELL,0055589
BRASIL_CELL,0055596
BRASIL_CELL,0055597
BRASIL_CELL,0055598
BRASIL_CELL,0055599
BRASIL_CELL,0055607
BRASIL_CELL,0055608
BRASIL_CELL,0055609
BRASIL_CELL,0055616
BRASIL_CELL,0055617
BRASIL_CELL,0055618
BRASIL_CELL,0055619
BRASIL_CELL,0055626
BRASIL_CELL,0055627
BRASIL_CELL,0055628
BRASIL_CELL,0055629
BRUNEI,00673
BRUNEI_CELL,006738
BULGARIA,00359
BULGARIA,003592
BULGARIA_CELL,0035917
BULGARIA_CELL,0035924
BULGARIA_CELL,003593015
BULGARIA_CELL,0035930455
BULGARIA_CELL,003593089
BULGARIA_CELL,003593099
BULGARIA_CELL,003593189
BULGARIA_CELL,00359325
BULGARIA_CELL,003593319
BULGARIA_CELL,003593355
BULGARIA_CELL,003593369
BULGARIA_CELL,003593379
BULGARIA_CELL,003593399
BULGARIA_CELL,00359349
BULGARIA_CELL,003593509
BULGARIA_CELL,003593579
BULGARIA_CELL,003593597
BULGARIA_CELL,003593614
BULGARIA_CELL,003593615
BULGARIA_CELL,003593739
BULGARIA_CELL,0035937515
BULGARIA_CELL,003593799
BULGARIA_CELL,00359385
BULGARIA_CELL,003593913
BULGARIA_CELL,003593917
BULGARIA_CELL,003593919
BULGARIA_CELL,003594168
BULGARIA_CELL,003594179
BULGARIA_CELL,003594189
BULGARIA_CELL,00359429
BULGARIA_CELL,003594315
BULGARIA_CELL,00359445
BULGARIA_CELL,003594575
BULGARIA_CELL,003594579
BULGARIA_CELL,00359465
BULGARIA_CELL,00359469
BULGARIA_CELL,003594709
BULGARIA_CELL,00359476198
BULGARIA_CELL,003594789
BULGARIA_CELL,0035948
BULGARIA_CELL,00359514398
BULGARIA_CELL,003595179
BULGARIA_CELL,003595185
BULGARIA_CELL,003595195
BULGARIA_CELL,00359524
BULGARIA_CELL,00359529
BULGARIA_CELL,003595389
BULGARIA_CELL,00359545
BULGARIA_CELL,00359549
BULGARIA_CELL,003595507
BULGARIA_CELL,003595509
BULGARIA_CELL,003595545
BULGARIA_CELL,003595547
BULGARIA_CELL,003595548
BULGARIA_CELL,003595549
BULGARIA_CELL,003595569
BULGARIA_CELL,003595588
BULGARIA_CELL,003595598
BULGARIA_CELL,00359569
BULGARIA_CELL,003595709
BULGARIA_CELL,003595795
BULGARIA_CELL,003595799
BULGARIA_CELL,00359585
BULGARIA_CELL,003595909
BULGARIA_CELL,003595965
BULGARIA_CELL,003596015
BULGARIA_CELL,003596017
BULGARIA_CELL,003596019
BULGARIA_CELL,003596058
BULGARIA_CELL,003596085
BULGARIA_CELL,003596109
BULGARIA_CELL,003596189
BULGARIA_CELL,00359625
BULGARIA_CELL,003596319
BULGARIA_CELL,00359649
BULGARIA_CELL,003596509
BULGARIA_CELL,003596585
BULGARIA_CELL,00359659280
BULGARIA_CELL,00359669
BULGARIA_CELL,003596709
BULGARIA_CELL,003596759
BULGARIA_CELL,003596769
BULGARIA_CELL,003596779
BULGARIA_CELL,003596789
BULGARIA_CELL,00359685
BULGARIA_CELL,00359694198
BULGARIA_CELL,003596979
BULGARIA_CELL,003597019
BULGARIA_CELL,003597029
BULGARIA_CELL,003597059
BULGARIA_CELL,003597079
BULGARIA_CELL,003597209
BULGARIA_CELL,003597219
BULGARIA_CELL,003597229
BULGARIA_CELL,003597239
BULGARIA_CELL,003597249
BULGARIA_CELL,003597259
BULGARIA_CELL,003597269
BULGARIA_CELL,003597279
BULGARIA_CELL,003597289
BULGARIA_CELL,003597299
BULGARIA_CELL,00359735
BULGARIA_CELL,003597455
BULGARIA_CELL,003597459
BULGARIA_CELL,003597469
BULGARIA_CELL,003597485
BULGARIA_CELL,003597495
BULGARIA_CELL,003597499
BULGARIA_CELL,003597505
BULGARIA_CELL,003597519
BULGARIA_CELL,00359765
BULGARIA_CELL,003597779
BULGARIA_CELL,00359789
BULGARIA_CELL,0035979
BULGARIA_CELL,003598179
BULGARIA_CELL,00359825
BULGARIA_CELL,003598389
BULGARIA_CELL,00359845
BULGARIA_CELL,003598559
BULGARIA_CELL,003598579
BULGARIA_CELL,00359865
BULGARIA_CELL,0035987
BULGARIA_CELL,0035988
BULGARIA_CELL,0035989
BULGARIA_CELL,003599105
BULGARIA_CELL,003599159
BULGARIA_CELL,00359929
BULGARIA_CELL,003599369
BULGARIA_CELL,003599389
BULGARIA_CELL,00359949
BULGARIA_CELL,003599539
BULGARIA_CELL,00359965
BULGARIA_CELL,003599717
BULGARIA_CELL,003599718
BULGARIA_CELL,003599735
BULGARIA_CELL,003599739
BULGARIA_CELL,0035998
BULGARIA_CELL,0035999
BURKINA_FASO,00226
BURKINA_FASO,0022670
BURKINA_FASO,0022671
BURKINA_FASO,0022672
BURKINA_FASO,0022673
BURKINA_FASO,0022674
BURKINA_FASO,0022675
BURKINA_FASO,0022676
BURKINA_FASO,0022678
BURKINA_FASO,0022679
BURUNDI,00257
BURUNDI_CELL,0025729
BURUNDI_CELL,002576
BURUNDI_CELL,002577
BURUNDI_CELL,002578
BURUNDI_CELL,002579
BUTAN,00975
BUTAN,0097517
CABO_VERDE,00238
CABO_VERDE_CELL,0023859
CABO_VERDE_CELL,002389
CABO_VERDE_CELL,0023891
CABO_VERDE_CELL,0023892
CAMBOYA,00855
CAMBOYA_CELL,008551
CAMBOYA_CELL,008559
CAMERUN,00237
CAMERUN,00237337
CAMERUN,00237339
CAMERUN,00237340
CAMERUN,00237341
CAMERUN,00237342
CAMERUN,00237343
CAMERUN,00237347
CAMERUN_CELL,0023740
CAMERUN_CELL,0023741
CAMERUN_CELL,0023745
CAMERUN_CELL,0023746
CAMERUN_CELL,0023747
CAMERUN_CELL,0023748
CAMERUN_CELL,002375
CAMERUN_CELL,002376
CAMERUN_CELL,002377
CAMERUN_CELL,002378
CAMERUN_CELL,002379
CANADA,001204
CANADA,001250
CANADA,001306
CANADA,001403
CANADA,001416
CANADA,001418
CANADA,001450
CANADA,001506
CANADA,001514
CANADA,001519
CANADA,001604
CANADA,001613
CANADA,001647
CANADA,001705
CANADA,001709
CANADA,001780
CANADA,001807
CANADA,001819
CANADA,001867
CANADA,001902
CANADA,001905
CHAD,00235
CHAD,002352
CHAD,002353
CHAD,002354
CHAD,002356
CHAD,002357
CHAD,002358
CHILE,0056
CHILE,00562
CHILE,00562196
CHILE,00562198
CHILE,00562572
CHILE,00562593
CHILE,00562788
CHILE,00562868
CHILE,005628905
CHILE,005628906
CHILE,005628907
CHILE,005628908
CHILE,005628909
CHILE,00562917
CHILE,00562929
CHILE,00562930
CHILE,005632198
CHILE,005633198
CHILE,005634198
CHILE,005635198
CHILE,005641198
CHILE,005642197
CHILE,005642198
CHILE,00564237
CHILE,00564297
CHILE,005643197
CHILE,005643198
CHILE,00564337
CHILE,00564397
CHILE,005645197
CHILE,005645198
CHILE,00564535
CHILE,005645920
CHILE,005645921
CHILE,005645922
CHILE,005645923
CHILE,005645924
CHILE,005651198
CHILE,005652198
CHILE,005653198
CHILE,005655198
CHILE,005661198
CHILE,005663197
CHILE,00566337
CHILE,00566397
CHILE,005664197
CHILE,00566497
CHILE,005665197
CHILE,005665198
CHILE,005665970
CHILE,005665971
CHILE,005665972
CHILE,005667198
CHILE,005671197
CHILE,005671198
CHILE,00567137
CHILE,00567197
CHILE,005672198
CHILE,005673197
CHILE,005673198
CHILE,00567337
CHILE,00567379
CHILE,005675197
CHILE,005675198
CHILE,00567597
CHILE,005690
CHILE,005691
CHILE_CELL,00568
CHILE_CELL,00569
CHINA,0086
CHINA,008610
CHINA,008620
CHINA,008621
CHINA_CELL,008613
CHINA_CELL,0086153
CHINA_CELL,0086158
CHINA_CELL,0086159
CHIPRE_GRECIA,00357
CHIPRE_GRECIA_CELL,00357700
