#Id,ConnectFee,Rate,RateUnit,RateIncrement,GroupIntervalStart
CALL_0CNT_0CNT,0,0,1m,1s,0s
CALL_50CNT_150CNT,0.50,1.50,1m,1s,0s
CALL_50CNT_260CNT,0.50,2.60,1m,1s,0s
SMS_6CNT,0,0.06,1,1,0
SMS_8CNT,0,0.08,1,1,0
SMS_25CNT,0,0.25,1,1,0
SMS_60CNT,0,0.60,1,1,0
DATA_1MB_0CNT,0,0,1,1,0
DATA_1MB_500CNT,0,5,1,1,0
